key,value,timestamp,sentence
B - Sad,0.6314,"00:03:17,239 --> 00:03:18,604","Lucky it wasn't your head."
C - Neutral,0.2173,"00:03:17,239 --> 00:03:18,604","Lucky it wasn't your head."
D - Happy,0.0399,"00:03:17,239 --> 00:03:18,604","Lucky it wasn't your head."
E - Very Happy,0.0098,"00:03:17,239 --> 00:03:18,604","Lucky it wasn't your head."
A - Very Sad,0.0510,"00:03:18,865 --> 00:03:22,483","Zeke, what am I gonna do about Miss Gulch?"
B - Sad,0.4131,"00:03:18,865 --> 00:03:22,483","Zeke, what am I gonna do about Miss Gulch?"
C - Neutral,0.4700,"00:03:18,865 --> 00:03:22,483","Zeke, what am I gonna do about Miss Gulch?"
D - Happy,0.0526,"00:03:18,865 --> 00:03:22,483","Zeke, what am I gonna do about Miss Gulch?"
E - Very Happy,0.0134,"00:03:18,865 --> 00:03:22,483","Zeke, what am I gonna do about Miss Gulch?"
A - Very Sad,0.0062,"00:03:18,865 --> 00:03:22,483","Just because Toto..."
B - Sad,0.0632,"00:03:18,865 --> 00:03:22,483","Just because Toto..."
C - Neutral,0.8462,"00:03:18,865 --> 00:03:22,483","Just because Toto..."
D - Happy,0.0799,"00:03:18,865 --> 00:03:22,483","Just because Toto..."
E - Very Happy,0.0046,"00:03:18,865 --> 00:03:22,483","Just because Toto..."
A - Very Sad,0.0840,"00:03:22,744 --> 00:03:25,156","Listen, honey, I got them hogs to get in."
B - Sad,0.3435,"00:03:22,744 --> 00:03:25,156","Listen, honey, I got them hogs to get in."
C - Neutral,0.2348,"00:03:22,744 --> 00:03:25,156","Listen, honey, I got them hogs to get in."
D - Happy,0.2647,"00:03:22,744 --> 00:03:25,156","Listen, honey, I got them hogs to get in."
E - Very Happy,0.0731,"00:03:22,744 --> 00:03:25,156","Listen, honey, I got them hogs to get in."
A - Very Sad,0.1077,"00:03:25,414 --> 00:03:28,076","Dorothy, you ain't using your head."
B - Sad,0.5087,"00:03:25,414 --> 00:03:28,076","Dorothy, you ain't using your head."
C - Neutral,0.2951,"00:03:25,414 --> 00:03:28,076","Dorothy, you ain't using your head."
D - Happy,0.0656,"00:03:25,414 --> 00:03:28,076","Dorothy, you ain't using your head."
E - Very Happy,0.0229,"00:03:25,414 --> 00:03:28,076","Dorothy, you ain't using your head."
A - Very Sad,0.0420,"00:03:28,291 --> 00:03:29,452","You'd think you didn't have any brains."
B - Sad,0.3325,"00:03:28,291 --> 00:03:29,452","You'd think you didn't have any brains."
C - Neutral,0.5263,"00:03:28,291 --> 00:03:29,452","You'd think you didn't have any brains."
D - Happy,0.0872,"00:03:28,291 --> 00:03:29,452","You'd think you didn't have any brains."
E - Very Happy,0.0120,"00:03:28,291 --> 00:03:29,452","You'd think you didn't have any brains."
A - Very Sad,0.0263,"00:03:29,710 --> 00:03:32,577","- I have so got brains."
B - Sad,0.1316,"00:03:29,710 --> 00:03:32,577","- I have so got brains."
C - Neutral,0.3160,"00:03:29,710 --> 00:03:32,577","- I have so got brains."
D - Happy,0.4823,"00:03:29,710 --> 00:03:32,577","- I have so got brains."
E - Very Happy,0.0437,"00:03:29,710 --> 00:03:32,577","- I have so got brains."
A - Very Sad,0.0620,"00:03:29,710 --> 00:03:32,577","- Well, why don't you use them?"
B - Sad,0.5690,"00:03:29,710 --> 00:03:32,577","- Well, why don't you use them?"
C - Neutral,0.3478,"00:03:29,710 --> 00:03:32,577","- Well, why don't you use them?"
D - Happy,0.0164,"00:03:29,710 --> 00:03:32,577","- Well, why don't you use them?"
E - Very Happy,0.0050,"00:03:29,710 --> 00:03:32,577","- Well, why don't you use them?"
A - Very Sad,0.0459,"00:03:32,838 --> 00:03:34,749","Don't go by Miss Gulch's place."
B - Sad,0.5189,"00:03:32,838 --> 00:03:34,749","Don't go by Miss Gulch's place."
C - Neutral,0.3994,"00:03:32,838 --> 00:03:34,749","Don't go by Miss Gulch's place."
D - Happy,0.0325,"00:03:32,838 --> 00:03:34,749","Don't go by Miss Gulch's place."
E - Very Happy,0.0032,"00:03:32,838 --> 00:03:34,749","Don't go by Miss Gulch's place."
A - Very Sad,0.0918,"00:03:35,006 --> 00:03:38,795","Then Toto won't get in her garden, and you won't get in no trouble, see?"
B - Sad,0.6803,"00:03:35,006 --> 00:03:38,795","Then Toto won't get in her garden, and you won't get in no trouble, see?"
C - Neutral,0.1905,"00:03:35,006 --> 00:03:38,795","Then Toto won't get in her garden, and you won't get in no trouble, see?"
D - Happy,0.0276,"00:03:35,006 --> 00:03:38,795","Then Toto won't get in her garden, and you won't get in no trouble, see?"
E - Very Happy,0.0098,"00:03:35,006 --> 00:03:38,795","Then Toto won't get in her garden, and you won't get in no trouble, see?"
A - Very Sad,0.0658,"00:03:39,052 --> 00:03:41,885","Oh, Hunk, you just won't listen, that's all."
B - Sad,0.4523,"00:03:39,052 --> 00:03:41,885","Oh, Hunk, you just won't listen, that's all."
C - Neutral,0.2942,"00:03:39,052 --> 00:03:41,885","Oh, Hunk, you just won't listen, that's all."
D - Happy,0.1588,"00:03:39,052 --> 00:03:41,885","Oh, Hunk, you just won't listen, that's all."
E - Very Happy,0.0290,"00:03:39,052 --> 00:03:41,885","Oh, Hunk, you just won't listen, that's all."
A - Very Sad,0.0959,"00:03:42,139 --> 00:03:45,382","Well, your head ain't made of straw, you know."
B - Sad,0.4551,"00:03:42,139 --> 00:03:45,382","Well, your head ain't made of straw, you know."
C - Neutral,0.3031,"00:03:42,139 --> 00:03:45,382","Well, your head ain't made of straw, you know."
D - Happy,0.1213,"00:03:42,139 --> 00:03:45,382","Well, your head ain't made of straw, you know."
E - Very Happy,0.0245,"00:03:42,139 --> 00:03:45,382","Well, your head ain't made of straw, you know."
A - Very Sad,0.0573,"00:03:47,352 --> 00:03:51,721","Say, get in there before I make a dime bank out of you."
B - Sad,0.2424,"00:03:47,352 --> 00:03:51,721","Say, get in there before I make a dime bank out of you."
